Date,Company Name,IPO Open,High Stock,Low Stock,IPO Close,Shares Traded,Turnover (Crore),Subcategory,Category
12/18/2024,Airbnb Inc.,592.55,1583.82,531.05,420.02,9623,69.11,Nifty Small Cap 50,Large Cap
12/11/2024,NVIDIA Corp.,314.77,1786.26,529.08,766.45,5936,365.95,Nifty 100,Large Cap
12/22/2023,AbbVie Inc.,155.7,260.48,910.46,811.29,2903,205.58,Nifty Next 50,Small Cap
9/17/2024,Anthem Inc.,376.38,1325.5,1140,1064.48,1345,113.27,Nifty 100,Small Cap
10/28/2024,UnitedHealth Group,823.77,737.67,406.53,528.88,2425,160.7,Nifty MidSmall 40,Small Cap
6/14/2023,Salesforce.com,1058.83,1229.06,996.34,475.51,7625,84.07,Nifty MidSmall 40,Mid Cap
4/1/2023,UnitedHealth Group,1172.33,1045.23,901.15,1073.12,8976,407.86,Nifty Small Cap 50,Mid Cap
6/16/2023,Square Inc.,112.26,767.31,738.73,629.04,2465,194.34,Nifty Next 50,Large Cap
7/26/2023,McDonald's Corp.,670.58,325.41,855.32,55.83,3238,468.87,Nifty Small Cap 50,Mid Cap
10/9/2023,Salesforce.com,227.21,1184.96,54.73,1409.88,8434,483.23,Nifty MidSmall 40,Large Cap
3/6/2023,Qualcomm Inc.,675.24,358.67,35.57,266.99,8445,482.91,Nifty 100,Small Cap
5/30/2024,ServiceNow Inc.,679.26,438.82,784.1,265.52,7361,78.7,Nifty Small Cap 50,Small Cap
6/6/2023,Nikon Corporation,772.41,1967.02,748.03,1236.63,3368,173.85,Nifty 100,Small Cap
11/2/2023,Ford Motor Co.,1344.6,735.9,127.73,536.48,4573,155.88,Nifty 50,Small Cap
1/30/2024,United Airlines,1217.39,1231.21,704.08,525.85,5826,461.42,Nifty 100,Small Cap
3/15/2023,AbbVie Inc.,973.25,653.63,1067.81,952.47,7650,44.15,Nifty 50,Small Cap
7/6/2023,Netflix Inc.,1333.84,1751.19,771.45,135.61,8285,294.72,Nifty Small Cap 50,Large Cap
7/27/2024,SAP SE,1033.78,674.18,739.13,393.59,8825,243.2,Nifty Next 50,Mid Cap
12/3/2023,Visa Inc.,1237.34,828.74,1013.53,127.24,6880,488.16,Nifty Next 50,Large Cap
11/6/2024,Microsoft Corp.,867.48,1275.52,265.43,472.69,7069,481.69,Nifty Small Cap 50,Small Cap
7/21/2024,SAP SE,811.57,1759.48,656.75,1311.4,886,212.58,Nifty Small Cap 50,Large Cap
9/14/2024,Johnson & Johnson,1099.94,1660,232.83,1368.53,6405,221.25,Nifty 100,Mid Cap
12/30/2024,Illumina Inc.,78.55,638.14,747.66,498.68,565,192.88,Nifty Small Cap 50,Mid Cap
8/28/2023,Marriott International,1051.05,1684.68,840.96,322,7665,394.8,Nifty Small Cap 50,Mid Cap
6/16/2024,Facebook Inc.,1405.05,1447.21,196.69,246.15,240,50.99,Nifty Next 50,Mid Cap
5/21/2023,State Farm,1085.22,1981.18,133.46,621.91,7902,58.96,Nifty Next 50,Mid Cap
9/22/2023,Snap Inc.,103.35,1880.58,258.43,1248.29,1827,352.64,Nifty Next 50,Mid Cap
5/19/2023,Nikon Corporation,597.93,1136.3,833.28,1286.36,2091,9.33,Nifty Small Cap 50,Mid Cap
4/3/2024,Progressive Corporation,1223.89,1537.37,289.78,116.6,9101,335.84,Nifty Small Cap 50,Large Cap
3/11/2023,Nikon Corporation,1439.98,1204.83,407.08,353.38,9562,65.22,Nifty MidSmall 40,Large Cap
1/20/2024,Thermo Fisher Scientific,586.74,1250.74,992.49,344.6,2981,393.31,Nifty MidSmall 40,Mid Cap
9/21/2024,Prudential Financial,1269.73,337.78,370.23,1251.22,802,370.08,Nifty Small Cap 50,Large Cap
7/17/2023,Palantir Technologies,1302.52,154.15,574.61,711.62,8461,91.95,Nifty MidSmall 40,Small Cap
7/24/2023,Lyft Inc.,228.77,239.14,1302.52,584.17,2181,378.71,Nifty 50,Large Cap
12/26/2024,Siemens AG,1276.39,1938.27,1160.25,1437.08,9725,395.33,Nifty 50,Large Cap
7/21/2024,Carnival Corporation,520.16,383.6,380,1391.77,9722,462.86,Nifty 100,Small Cap
11/17/2024,Illumina Inc.,910.19,232.12,848.68,688.15,5255,362.5,Nifty 100,Small Cap
10/1/2024,McDonald's Corp.,831.5,722.84,942.15,236.08,364,433.93,Nifty 100,Large Cap
3/6/2024,Booking Holdings,1011.43,1238.13,1263.33,297.96,9144,319.1,Nifty Next 50,Large Cap
11/21/2023,Pfizer Inc.,1123.67,1904.65,780.03,212.52,7565,313.13,Nifty 50,Mid Cap
3/17/2024,McDonald's Corp.,689.28,1444.79,798.96,1036.73,1863,338,Nifty MidSmall 40,Small Cap
10/15/2023,Snap Inc.,1338.05,661.25,1247.17,854.3,7846,203.77,Nifty 100,Small Cap
8/14/2023,General Electric,1223.77,1887.26,104.5,857.13,8298,115.06,Nifty 100,Large Cap
3/5/2023,Twitter Inc.,1188.86,216.68,890.55,192.65,9731,207.24,Nifty 100,Large Cap
7/13/2024,Tesla Inc.,714.46,1961.25,600.81,1200.25,8304,297.1,Nifty Next 50,Small Cap
12/14/2024,Intel Corp.,104.48,258.49,1276.38,826.58,5979,345.31,Nifty 100,Large Cap
5/12/2024,Sanofi,763.77,1544.62,1345.94,181.91,2867,228.9,Nifty Next 50,Mid Cap
3/1/2023,Amgen Inc.,1352.75,233.8,263.24,1133.34,1047,165.73,Nifty 100,Small Cap
2/1/2024,Allstate Corporation,326.15,1873.39,415.61,1472.88,3881,124.2,Nifty 50,Large Cap
9/14/2023,Allstate Corporation,1474.76,351.03,404.64,689.71,3446,92.42,Nifty Small Cap 50,Mid Cap
7/30/2024,United Airlines,1221.15,243.39,167.86,217.7,1910,238.71,Nifty MidSmall 40,Small Cap
8/27/2023,Twilio Inc.,1079.25,1795.14,691.63,197.03,9419,353.49,Nifty MidSmall 40,Large Cap
2/7/2023,AT&T Inc.,1031.88,327.22,732.92,87.53,7309,415.09,Nifty 100,Small Cap
1/25/2023,Cigna Corporation,901.19,1626.17,814.98,1167.08,2812,173.31,Nifty Small Cap 50,Mid Cap
2/14/2024,ServiceNow Inc.,1094.97,1532.01,938.25,1056.3,7558,305.97,Nifty MidSmall 40,Mid Cap
4/5/2024,HSBC Holdings PLC,661.76,1257.92,116.2,897.15,6979,239.38,Nifty MidSmall 40,Mid Cap
7/24/2024,Pfizer Inc.,1275.67,849.23,882.8,1160.16,4635,483.16,Nifty Small Cap 50,Mid Cap
2/21/2024,Nikon Corporation,1059.7,1843.82,1281.92,1498.98,3209,441.31,Nifty 100,Mid Cap
12/23/2023,Travelers Companies,1168.32,1761.5,653.34,632.68,4304,441.25,Nifty 50,Small Cap
1/18/2024,Nikon Corporation,1199.11,938.56,176.2,1073.42,2577,290.02,Nifty 50,Large Cap
6/7/2023,Starbucks Corp.,183.5,578.69,147.74,596.88,9736,218.98,Nifty 50,Large Cap
7/22/2024,Hilton Worldwide,130.68,654.26,416,560.48,6589,326.28,Nifty 100,Small Cap
3/8/2024,Raytheon Technologies,1211.43,557.6,1060.96,1283.83,480,80.67,Nifty 100,Large Cap
2/17/2023,Nikon Corporation,426.11,1151.32,387.57,883.41,9819,441.6,Nifty MidSmall 40,Large Cap
11/24/2023,Broadcom Inc.,893.86,1756.8,1145.63,224.89,2721,136.35,Nifty Next 50,Small Cap
3/8/2024,L’Oréal,693.38,1581.18,1152.93,635.1,3681,413.62,Nifty 50,Large Cap
3/6/2024,Nikon Corporation,81.96,1621.69,656.24,1205,5762,149.95,Nifty 50,Mid Cap
2/25/2023,Paychex Inc.,108.41,979.33,442.08,1413,3201,261.49,Nifty Small Cap 50,Mid Cap
7/30/2024,Shopify Inc.,1249.33,746.52,848.8,940.92,3749,386.37,Nifty Next 50,Small Cap
9/25/2023,United Airlines,931.13,1551.11,1140.43,621.61,2305,197.48,Nifty 50,Large Cap
3/10/2023,L’Oréal,809.57,1617.6,118.46,415.37,3539,179.64,Nifty 50,Mid Cap
12/28/2024,Microsoft Corp.,1419.31,1436.4,1336.19,661.93,1482,444.05,Nifty Small Cap 50,Mid Cap
8/23/2024,Anthem Inc.,301.02,209.4,914.88,870.2,8914,35.39,Nifty MidSmall 40,Large Cap
3/24/2024,Apple Inc.,424.06,1240.92,575.46,56.4,2871,420.93,Nifty 100,Mid Cap
9/14/2023,Microsoft Corp.,1147.27,792.03,723.25,439.58,5622,464.17,Nifty MidSmall 40,Mid Cap
11/2/2024,AT&T Inc.,1174.09,512.96,558.26,1023.7,6892,282.02,Nifty Small Cap 50,Small Cap
5/4/2024,AstraZeneca,637.1,1434.63,595.28,1026.18,8121,348.29,Nifty 100,Large Cap
10/4/2024,Square Inc.,1428.92,646.77,845.99,996.86,233,430.86,Nifty MidSmall 40,Mid Cap
2/18/2023,Raytheon Technologies,1410.47,1838.76,112.53,1427.42,4896,218.33,Nifty 100,Small Cap
